County,Year,State,Region,Economic Type,Urban or Rural,% Children in Poverty,% Excessive Drinking,High School Graduation Rate,Hospital Overuse,% Low Birth Weight,Median Family Income,Mentally Unhealthy Days,% Receiving Diabetes Monitoring,Teen Birth Rate,% Unemployed
Virginia Beach City,2013-01-01,Virginia,South,Nonspecialized,Urban,13,22,87,54,8.1,76285,3.4,84,30,6
Waynesboro City,2013-01-01,Virginia,South,Nonspecialized,Urban,28,,80,41,7.9,57726,,92,61,7.9
Williamsburg City,2013-01-01,Virginia,South,Recreation,Urban,23,,89,41,11.7,64329,,87,10,14
Winchester City,2013-01-01,Virginia,South,Nonspecialized,Urban,24,,86,79,7.9,56967,,91,59,7.7
Adams,2013-01-01,Washington,West,Farming,Rural,29,13,79,56,6.1,48121,2.4,88,103,9.4
Asotin,2013-01-01,Washington,West,Nonspecialized,Urban,26,16,72,50,6.6,55321,3.5,86,46,9
Benton,2013-01-01,Washington,West,Nonspecialized,Urban,17,13,78,63,6.6,72126,3.1,85,42,7.6
Chelan,2013-01-01,Washington,West,Recreation,Urban,24,14,75,44,6.5,61230,3,92,45,8.4
Clallam,2013-01-01,Washington,West,Nonspecialized,Rural,20,13,39,39,5.1,59169,3.5,89,33,10.4
Clark,2013-01-01,Washington,West,Nonspecialized,Urban,18,16,80,56,6,68276,3.3,84,29,12.4
Columbia,2013-01-01,Washington,West,Farming,Urban,23,16,91,48,,50956,3.1,91,31,11.2
Cowlitz,2013-01-01,Washington,West,Nonspecialized,Urban,27,18,80,60,6.7,56810,4.1,87,48,12.1
Douglas,2013-01-01,Washington,West,Farming,Urban,27,15,84,42,6.3,55665,2.9,93,46,8
Ferry,2013-01-01,Washington,West,Federal/State Government,Rural,29,18,81,50,6.3,42164,3.1,75,34,14.2
Franklin,2013-01-01,Washington,West,Nonspecialized,Urban,36,13,68,48,6.7,57710,2.5,86,76,8.8
Garfield,2013-01-01,Washington,West,Federal/State Government,Rural,18,14,92,51,,66182,2.9,96,,7.4
Grant,2013-01-01,Washington,West,Farming,Rural,28,14,74,46,6.4,52848,2.8,89,70,10
Grays Harbor,2013-01-01,Washington,West,Nonspecialized,Rural,29,21,69,74,6.2,52948,4.3,83,48,13.2
Island,2013-01-01,Washington,West,Recreation,Rural,15,17,83,39,5.3,69775,3.3,89,26,9.1
Jefferson,2013-01-01,Washington,West,Recreation,Rural,24,17,82,38,4.2,62737,3.8,90,25,9.9
King,2013-01-01,Washington,West,Nonspecialized,Urban,15,19,80,40,6.6,92510,2.9,88,20,8.1
Kitsap,2013-01-01,Washington,West,Federal/State Government,Urban,14,17,81,42,6.5,74993,3.3,85,27,7.9
Kittitas,2013-01-01,Washington,West,Federal/State Government,Rural,22,19,75,53,4.4,63929,2.9,86,13,8.8
Klickitat,2013-01-01,Washington,West,Nonspecialized,Rural,27,15,73,47,6.3,48375,3.3,90,37,10.6
Lewis,2013-01-01,Washington,West,Nonspecialized,Rural,24,14,75,48,5.9,53627,3.4,86,45,13.4
Lincoln,2013-01-01,Washington,West,Farming,Rural,19,15,89,80,6.2,60478,3.4,83,26,8.5
Mason,2013-01-01,Washington,West,Recreation,Rural,22,16,68,50,6.2,57662,4.5,86,44,11.2
Okanogan,2013-01-01,Washington,West,Farming,Rural,35,16,78,45,8.1,47539,3.8,90,55,10.2
Pacific,2013-01-01,Washington,West,Recreation,Rural,28,16,67,75,5.3,50919,4.7,87,37,12.5
Pend Oreille,2013-01-01,Washington,West,Nonspecialized,Urban,33,17,87,56,6.4,47847,3.4,85,48,12.6
Pierce,2013-01-01,Washington,West,Nonspecialized,Urban,17,16,74,53,6.5,70077,3.6,84,35,9.8
San Juan,2013-01-01,Washington,West,Recreation,Rural,20,21,88,23,4.4,65067,2.9,90,14,7.1
Skagit,2013-01-01,Washington,West,Nonspecialized,Urban,23,17,71,55,5.6,64951,3.8,84,46,10.1
Skamania,2013-01-01,Washington,West,Recreation,Urban,21,21,43,63,5.7,67354,3.3,86,27,12.5
Snohomish,2013-01-01,Washington,West,Maufacturing,Urban,15,17,76,36,5.9,80856,3.6,88,24,9.3
Spokane,2013-01-01,Washington,West,Nonspecialized,Urban,18,17,81,42,6.5,62589,3.7,88,29,9.4
Stevens,2013-01-01,Washington,West,Nonspecialized,Urban,29,19,72,63,6,52410,3.6,84,38,12.1
Thurston,2013-01-01,Washington,West,Federal/State Government,Urban,17,16,80,38,5.8,74207,3.5,81,25,8.3
Wahkiakum,2013-01-01,Washington,West,Nonspecialized,Rural,26,15,84,45,,48156,4.8,83,31,12.9
Walla Walla,2013-01-01,Washington,West,Federal/State Government,Urban,23,13,85,31,6.5,59108,2.9,87,34,7.6
Whatcom,2013-01-01,Washington,West,Recreation,Urban,18,18,77,46,4.8,68159,3.5,88,20,8.3
Whitman,2013-01-01,Washington,West,Federal/State Government,Rural,19,17,90,63,6.2,63713,3.2,88,5,6.6
Yakima,2013-01-01,Washington,West,Nonspecialized,Urban,31,13,72,62,6.7,48946,3.6,86,71,10.1
Barbour,2013-01-01,West Virginia,South,Mining,Rural,34,7,79,110,6.8,44395,3.6,89,41,9
Berkeley,2013-01-01,West Virginia,South,Federal/State Government,Urban,21,13,81,66,7.6,61575,4.1,84,51,7.9
Boone,2013-01-01,West Virginia,South,Mining,Urban,27,10,76,144,10.3,54315,5.8,85,68,7.4
Braxton,2013-01-01,West Virginia,South,Nonspecialized,Rural,30,7,81,76,8.6,43884,3.7,86,50,10.1
Brooke,2013-01-01,West Virginia,South,Maufacturing,Urban,23,16,89,120,8.7,55605,3.9,84,26,11.4
Cabell,2013-01-01,West Virginia,South,Nonspecialized,Urban,28,10,71,78,11.1,52300,4.6,84,47,7.3
Calhoun,2013-01-01,West Virginia,South,Mining,Rural,34,11,86,97,9.3,41920,4.4,92,51,12.6
Clay,2013-01-01,West Virginia,South,Mining,Urban,42,8,83,97,9,42629,4.4,88,66,11.9
Doddridge,2013-01-01,West Virginia,South,Mining,Rural,26,7,92,74,9.3,43622,4.7,81,38,8.3
Fayette,2013-01-01,West Virginia,South,Federal/State Government,Urban,30,14,71,122,10.2,42182,5.1,83,63,8.6
Gilmer,2013-01-01,West Virginia,South,Federal/State Government,Rural,28,13,82,109,9,49852,4.9,80,26,7.4
Grant,2013-01-01,West Virginia,South,Nonspecialized,Rural,29,7,83,90,7.5,51667,4.1,74,54,11
Greenbrier,2013-01-01,West Virginia,South,Recreation,Rural,25,8,74,77,8.7,48487,4,85,44,8.3
Hampshire,2013-01-01,West Virginia,South,Recreation,Urban,29,12,83,95,6.7,45831,3.1,84,46,7.8
Hancock,2013-01-01,West Virginia,South,Maufacturing,Urban,26,15,80,123,7.2,49200,4.5,85,36,12
Hardy,2013-01-01,West Virginia,South,Maufacturing,Rural,24,11,79,84,7.1,43097,3.1,86,43,8.4
Harrison,2013-01-01,West Virginia,South,Federal/State Government,Rural,26,8,78,80,8.7,54364,4.3,83,49,6.9
Jackson,2013-01-01,West Virginia,South,Maufacturing,Rural,27,12,76,105,8,53355,3.8,80,42,10.8
Jefferson,2013-01-01,West Virginia,South,Recreation,Urban,15,15,81,57,7.4,77447,3.4,79,34,6
Kanawha,2013-01-01,West Virginia,South,Federal/State Government,Urban,27,10,71,81,9.8,58481,4.3,82,52,7
Lewis,2013-01-01,West Virginia,South,Mining,Rural,29,5,72,174,9.7,44653,5.7,77,51,6.4
Lincoln,2013-01-01,West Virginia,South,Mining,Urban,35,10,75,129,9.9,42293,5.2,86,63,9.8
Logan,2013-01-01,West Virginia,South,Mining,Rural,28,10,79,168,11.8,47700,6.1,82,62,8.4
McDowell,2013-01-01,West Virginia,South,Mining,Rural,46,10,74,124,12.6,30671,5.9,82,85,10
Marion,2013-01-01,West Virginia,South,Mining,Rural,23,10,79,101,9.2,53822,3.6,78,37,6.7
Marshall,2013-01-01,West Virginia,South,Maufacturing,Urban,22,13,86,101,8.8,51779,4,74,40,9.5
Mason,2013-01-01,West Virginia,South,Nonspecialized,Rural,29,9,82,126,11.3,44401,4.2,85,48,12
Mercer,2013-01-01,West Virginia,South,Nonspecialized,Rural,34,6,73,100,13.2,44751,5.1,86,62,7.9
Mineral,2013-01-01,West Virginia,South,Maufacturing,Urban,25,8,92,101,9.6,48910,3.4,85,37,7.5
Mingo,2013-01-01,West Virginia,South,Mining,Rural,32,8,74,266,11.8,47986,6.8,79,70,8.8
Monongalia,2013-01-01,West Virginia,South,Federal/State Government,Urban,17,13,77,83,7.7,68101,4.2,82,14,5.3
Monroe,2013-01-01,West Virginia,South,Federal/State Government,Rural,28,9,76,90,8.2,46707,4.8,88,36,7.1
Morgan,2013-01-01,West Virginia,South,Recreation,Rural,22,10,86,87,8,51724,4.4,89,36,8.3
Nicholas,2013-01-01,West Virginia,South,Mining,Rural,29,8,75,93,10.2,48275,5,86,49,9
Ohio,2013-01-01,West Virginia,South,Nonspecialized,Urban,22,14,81,68,8.9,57865,3.8,80,35,8
Pendleton,2013-01-01,West Virginia,South,Farming,Rural,27,9,81,96,8.6,47745,2,79,28,6.5
Pleasants,2013-01-01,West Virginia,South,Nonspecialized,Rural,21,6,89,113,9.6,57604,4,84,37,9.5
Pocahontas,2013-01-01,West Virginia,South,Recreation,Rural,29,19,86,107,10.4,43975,3.9,82,39,11.6
Preston,2013-01-01,West Virginia,South,Federal/State Government,Urban,24,9,79,94,9.1,52128,3.8,85,42,7
Putnam,2013-01-01,West Virginia,South,Nonspecialized,Urban,15,9,82,77,8.4,65900,3.6,83,32,6.9
Raleigh,2013-01-01,West Virginia,South,Mining,Urban,23,7,79,124,10.1,49936,4.7,80,55,7
Randolph,2013-01-01,West Virginia,South,Nonspecialized,Rural,31,9,78,105,8.7,48547,4.2,85,53,9.6
Ritchie,2013-01-01,West Virginia,South,Maufacturing,Rural,28,7,81,90,7.7,45615,3.8,88,41,8.9
Roane,2013-01-01,West Virginia,South,Mining,Rural,33,13,76,99,6.5,38920,3.6,87,46,12.6
Summers,2013-01-01,West Virginia,South,Nonspecialized,Rural,36,12,73,109,10.4,44595,4,80,46,9.4
Taylor,2013-01-01,West Virginia,South,Nonspecialized,Rural,25,8,71,92,7.3,48618,3.8,80,43,7.7
Tucker,2013-01-01,West Virginia,South,Federal/State Government,Rural,25,7,82,76,7.4,49677,3.4,86,37,10.7
Tyler,2013-01-01,West Virginia,South,Maufacturing,Rural,28,12,95,81,9.3,47671,2.7,82,45,10.3
Upshur,2013-01-01,West Virginia,South,Mining,Rural,28,4,70,84,7.2,49740,3.7,73,33,8.1
Wayne,2013-01-01,West Virginia,South,Federal/State Government,Urban,28,11,75,102,13.1,46749,6.1,82,43,8.1
Webster,2013-01-01,West Virginia,South,Mining,Rural,38,5,72,107,8.8,34786,4,79,43,10.8
Wetzel,2013-01-01,West Virginia,South,Nonspecialized,Rural,27,9,86,93,9.4,49622,3.6,75,53,11.9
Wirt,2013-01-01,West Virginia,South,Nonspecialized,Urban,30,,90,112,8.5,43795,2.3,85,41,11
Wood,2013-01-01,West Virginia,South,Nonspecialized,Urban,28,11,81,101,9.4,53647,5.1,86,48,8.4
Wyoming,2013-01-01,West Virginia,South,Mining,Rural,34,6,82,140,11.1,47602,7.1,81,60,8.8
Adams,2013-01-01,Wisconsin,Midwest,Recreation,Rural,29,25,94,75,7.9,51949,3.7,89,50,10.5
Ashland,2013-01-01,Wisconsin,Midwest,Recreation,Rural,26,23,90,51,5.3,47587,3.7,88,30,9.5
Barron,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,20,21,89,65,5.6,54827,3.3,92,29,8
Bayfield,2013-01-01,Wisconsin,Midwest,Recreation,Rural,21,22,89,68,4.8,55654,3.4,83,23,10
Brown,2013-01-01,Wisconsin,Midwest,Nonspecialized,Urban,15,26,87,41,6.5,67159,2.9,89,32,6.8
Buffalo,2013-01-01,Wisconsin,Midwest,Nonspecialized,Rural,18,28,91,53,5.6,58708,2.7,88,19,6.1
Burnett,2013-01-01,Wisconsin,Midwest,Recreation,Rural,27,21,56,70,6.5,47404,2.3,86,35,9.1
Calumet,2013-01-01,Wisconsin,Midwest,Maufacturing,Urban,8,37,93,46,5.8,75563,2.7,87,15,5.7
Chippewa,2013-01-01,Wisconsin,Midwest,Maufacturing,Urban,16,22,87,68,6,61420,2.9,91,27,7.4
Clark,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,27,26,91,87,5.3,53025,2.3,92,25,8.2
Columbia,2013-01-01,Wisconsin,Midwest,Maufacturing,Urban,14,28,89,59,6.2,70208,2.6,90,23,7.4
Crawford,2013-01-01,Wisconsin,Midwest,Nonspecialized,Rural,20,23,96,68,6.4,57472,2.6,90,25,8.1
Dane,2013-01-01,Wisconsin,Midwest,Federal/State Government,Urban,15,24,86,49,6.2,83509,2.8,91,19,5
Dodge,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,14,27,93,56,6.2,64923,3.8,90,23,7.8
Door,2013-01-01,Wisconsin,Midwest,Recreation,Rural,16,25,94,51,5.6,63361,2.3,93,19,10.6
Douglas,2013-01-01,Wisconsin,Midwest,Recreation,Urban,20,27,87,67,6.2,59716,3.2,86,29,7.1
Dunn,2013-01-01,Wisconsin,Midwest,Federal/State Government,Rural,17,25,91,58,5.7,62033,1.8,91,15,6.5
Eau Claire,2013-01-01,Wisconsin,Midwest,Nonspecialized,Urban,16,26,87,48,6.2,67630,2.6,93,17,6.3
Florence,2013-01-01,Wisconsin,Midwest,Recreation,Rural,20,,96,42,,52846,2.4,88,,8.6
Fond du Lac,2013-01-01,Wisconsin,Midwest,Maufacturing,Urban,14,26,93,48,6.9,65103,2.5,90,25,7.2
Forest,2013-01-01,Wisconsin,Midwest,Recreation,Rural,23,,89,62,8,51207,2.5,92,41,9.9
Grant,2013-01-01,Wisconsin,Midwest,Federal/State Government,Rural,20,27,95,53,5.2,58869,2.2,92,18,6.4
Green,2013-01-01,Wisconsin,Midwest,Nonspecialized,Urban,12,25,88,61,6.6,68493,2.4,91,27,7
Green Lake,2013-01-01,Wisconsin,Midwest,Recreation,Rural,21,20,91,49,5.2,60358,4.1,88,28,8.1
Iowa,2013-01-01,Wisconsin,Midwest,Nonspecialized,Urban,14,26,94,61,4.5,70079,2.9,86,22,6.4
Iron,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,22,30,94,46,,49059,2.4,90,,10.8
Jackson,2013-01-01,Wisconsin,Midwest,Nonspecialized,Rural,22,,92,56,7.1,51692,,88,36,8.3
Jefferson,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,14,24,93,44,5.8,67058,3.4,90,18,8.2
Juneau,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,25,25,85,77,6,54255,4.7,90,39,9.3
Kenosha,2013-01-01,Wisconsin,Midwest,Nonspecialized,Urban,19,24,82,76,7.9,68255,3.9,86,35,9
Kewaunee,2013-01-01,Wisconsin,Midwest,Maufacturing,Urban,13,26,93,35,6,67033,2.6,89,17,7
La Crosse,2013-01-01,Wisconsin,Midwest,Nonspecialized,Urban,15,23,92,40,6,69606,2.8,93,18,5.7
Lafayette,2013-01-01,Wisconsin,Midwest,Farming,Rural,20,17,96,86,5.1,59593,1.9,86,20,6.2
Langlade,2013-01-01,Wisconsin,Midwest,Recreation,Rural,23,22,92,72,6.7,50629,3.6,89,35,9.4
Lincoln,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,16,22,92,68,6.3,61366,3.4,91,29,10
Manitowoc,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,13,28,88,51,7,63889,2.6,90,25,8.1
Marathon,2013-01-01,Wisconsin,Midwest,Maufacturing,Urban,16,24,92,71,6,64950,2.3,93,25,7.6
Marinette,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,18,22,90,62,6.9,53495,2.8,89,28,9.5
Marquette,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,26,27,87,44,7.2,55060,3,92,35,9.5
Menominee,2013-01-01,Wisconsin,Midwest,Nonspecialized,Rural,48,,91,,7.4,37321,2.1,78,116,16.8
Milwaukee,2013-01-01,Wisconsin,Midwest,Nonspecialized,Urban,32,22,76,61,9.2,55164,3.7,89,57,9
Monroe,2013-01-01,Wisconsin,Midwest,Federal/State Government,Rural,25,27,90,61,5.9,61851,2.7,89,38,6.7
Oconto,2013-01-01,Wisconsin,Midwest,Recreation,Urban,15,28,89,64,5.7,62599,3.4,89,25,8.7
Oneida,2013-01-01,Wisconsin,Midwest,Recreation,Rural,20,21,87,53,7.8,58214,2.6,90,24,9.4
Outagamie,2013-01-01,Wisconsin,Midwest,Nonspecialized,Urban,11,31,92,43,7.1,71464,2.3,91,21,7
Ozaukee,2013-01-01,Wisconsin,Midwest,Maufacturing,Urban,6,21,96,41,5.4,92262,2.7,90,7,6
Pepin,2013-01-01,Wisconsin,Midwest,Nonspecialized,Rural,22,18,98,81,5.5,58770,3.8,82,14,6.2
Pierce,2013-01-01,Wisconsin,Midwest,Federal/State Government,Urban,9,29,96,64,5.9,74867,2.2,93,10,5.8
Polk,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,16,23,94,77,5.9,58842,2.7,84,26,8.4
Portage,2013-01-01,Wisconsin,Midwest,Nonspecialized,Rural,15,25,88,52,5.6,65214,2.5,92,16,6.6
Price,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,22,18,91,70,6,53902,2.9,92,16,8
Racine,2013-01-01,Wisconsin,Midwest,Maufacturing,Urban,21,24,76,55,8,66811,3.4,89,43,8.9
Richland,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,23,27,97,69,5.1,55208,3.8,88,21,7
Rock,2013-01-01,Wisconsin,Midwest,Nonspecialized,Urban,21,26,87,54,7.3,60120,3.2,89,40,9.5
Rusk,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,29,16,87,68,7,47825,1.7,92,32,10.7
St. Croix,2013-01-01,Wisconsin,Midwest,Nonspecialized,Urban,9,30,95,58,5.6,80740,1.9,90,15,5.9
Sauk,2013-01-01,Wisconsin,Midwest,Recreation,Rural,18,25,91,55,6,65561,2.9,87,32,7.5
Sawyer,2013-01-01,Wisconsin,Midwest,Recreation,Rural,28,22,82,58,5.8,46831,3.1,87,48,9.9
Shawano,2013-01-01,Wisconsin,Midwest,Nonspecialized,Rural,18,27,92,52,7,54485,3.2,92,28,8.5
Sheboygan,2013-01-01,Wisconsin,Midwest,Maufacturing,Urban,13,29,91,31,5.8,65968,3.2,93,31,7.6
Taylor,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,19,28,91,73,6,56250,2.3,94,20,8.8
Trempealeau,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,18,21,91,57,5.7,61196,2.8,90,30,6.2
Vernon,2013-01-01,Wisconsin,Midwest,Farming,Rural,26,25,91,44,5.2,57070,2.5,85,18,6.8
Vilas,2013-01-01,Wisconsin,Midwest,Recreation,Rural,23,22,94,51,5.8,50051,2,88,30,10.2
Walworth,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,18,21,89,52,6.6,68838,2.8,87,24,7.8
Washburn,2013-01-01,Wisconsin,Midwest,Recreation,Rural,25,24,92,65,6.5,52635,2.1,88,32,8.8
Washington,2013-01-01,Wisconsin,Midwest,Maufacturing,Urban,8,25,93,51,5.8,79911,2.5,93,15,6.9
Waukesha,2013-01-01,Wisconsin,Midwest,Nonspecialized,Urban,7,23,94,51,6.4,92974,2.6,90,10,6.5
Waupaca,2013-01-01,Wisconsin,Midwest,Maufacturing,Rural,17,24,90,55,7.3,61581,2,89,28,7.9
Waushara,2013-01-01,Wisconsin,Midwest,Recreation,Rural,22,21,93,59,6.3,52816,3,92,37,8.8
Winnebago,2013-01-01,Wisconsin,Midwest,Maufacturing,Urban,16,25,90,45,7.3,66466,3,93,22,6.6
Wood,2013-01-01,Wisconsin,Midwest,Nonspecialized,Rural,18,20,96,61,5.8,60258,3.5,94,29,7.7
Albany,2013-01-01,Wyoming,West,Federal/State Government,Rural,19,16,87,62,10.4,67949,3.1,82,13,4.6
Big Horn,2013-01-01,Wyoming,West,Mining,Rural,15,13,88,74,6.5,61910,3.1,68,41,6.8
Campbell,2013-01-01,Wyoming,West,Mining,Rural,10,20,85,91,9.3,84746,2.8,71,53,4.6
Carbon,2013-01-01,Wyoming,West,Nonspecialized,Rural,16,18,74,88,9.9,65402,3.1,71,58,6.5
Converse,2013-01-01,Wyoming,West,Mining,Rural,15,21,86,65,5.8,75231,2.8,81,45,4.8
Crook,2013-01-01,Wyoming,West,Mining,Rural,12,14,91,44,5.4,60909,3.3,80,39,5.3
Fremont,2013-01-01,Wyoming,West,Nonspecialized,Rural,22,17,75,71,9.2,60397,3.5,64,72,7.1
Goshen,2013-01-01,Wyoming,West,Nonspecialized,Rural,23,16,84,75,8,51882,3.5,75,32,5.7
Hot Springs,2013-01-01,Wyoming,West,Nonspecialized,Rural,19,15,87,56,7.6,56344,3.4,66,49,5.1
Johnson,2013-01-01,Wyoming,West,Recreation,Rural,13,19,87,44,6.4,63343,3.3,74,33,7.1
Laramie,2013-01-01,Wyoming,West,Federal/State Government,Urban,16,15,73,53,9.5,71483,3.1,82,54,6.7
Lincoln,2013-01-01,Wyoming,West,Mining,Rural,13,14,86,42,8.9,71523,2.8,71,35,8.3
Natrona,2013-01-01,Wyoming,West,Mining,Urban,16,17,71,53,8,69098,3.5,81,52,5.9
Niobrara,2013-01-01,Wyoming,West,Nonspecialized,Rural,18,16,48,61,,57024,4.1,79,,4.7
Park,2013-01-01,Wyoming,West,Recreation,Rural,18,15,86,47,7.3,64802,2.8,77,25,6.1
Platte,2013-01-01,Wyoming,West,Nonspecialized,Rural,19,17,85,85,9.9,62596,2.7,64,33,5.9
Sheridan,2013-01-01,Wyoming,West,Nonspecialized,Rural,14,17,84,46,7.9,67673,3.6,70,30,6.9
Sublette,2013-01-01,Wyoming,West,Mining,Rural,9,26,87,47,9.9,85885,2.6,71,40,3.5
Sweetwater,2013-01-01,Wyoming,West,Mining,Rural,15,21,80,53,9.3,81595,3.7,82,57,5.1
Teton,2013-01-01,Wyoming,West,Recreation,Rural,15,22,88,31,6.7,83558,2.3,86,33,7.6
Uinta,2013-01-01,Wyoming,West,Mining,Rural,14,14,86,49,9.4,73060,3.4,80,42,5.8
Washakie,2013-01-01,Wyoming,West,Nonspecialized,Rural,15,11,78,95,6.2,64608,2.3,71,43,5.8
Weston,2013-01-01,Wyoming,West,Mining,Rural,16,15,82,50,9.8,74531,3,75,36,5.7
Autauga,2014-01-01,Alabama,South,Nonspecialized,Urban,19,17,80,75,9.3,64417,3.6,87,39,6.5
Baldwin,2014-01-01,Alabama,South,Recreation,Urban,21,18,74,54,8.9,61621,3.8,80,46,6.8
Barbour,2014-01-01,Alabama,South,Maufacturing,Rural,47,14,61,101,12.3,44730,4.3,88,74,11.2
Bibb,2014-01-01,Alabama,South,Nonspecialized,Urban,27,11,73,90,12.7,42846,5.1,83,49,7.6
Blount,2014-01-01,Alabama,South,Nonspecialized,Urban,23,6,81,91,7.7,51814,3.9,84,48,6.2
Bullock,2014-01-01,Alabama,South,Maufacturing,Rural,43,,73,91,13.7,44724,,81,85,13.4
Butler,2014-01-01,Alabama,South,Nonspecialized,Rural,42,11,72,128,10.4,39681,3.5,78,61,10.9
Calhoun,2014-01-01,Alabama,South,Federal/State Government,Urban,31,12,79,92,9,51455,5.1,80,51,7.6
Chambers,2014-01-01,Alabama,South,Nonspecialized,Rural,35,,80,89,11.7,43342,4.3,84,63,9.3
Cherokee,2014-01-01,Alabama,South,Nonspecialized,Rural,30,15,72,100,8.9,45379,5.2,88,52,7.1
Chilton,2014-01-01,Alabama,South,Nonspecialized,Urban,30,9,73,80,9.8,51121,4.9,87,58,6.5
Choctaw,2014-01-01,Alabama,South,Maufacturing,Rural,30,,78,48,11.6,50884,4.6,84,46,9
Clarke,2014-01-01,Alabama,South,Maufacturing,Rural,32,9,78,85,12.9,46583,3,79,42,12.1
Clay,2014-01-01,Alabama,South,Maufacturing,Rural,30,,83,107,10.7,42722,5.3,86,52,9.3
Cleburne,2014-01-01,Alabama,South,Nonspecialized,Rural,26,,92,96,8.5,46939,5.2,86,54,6.9
Coffee,2014-01-01,Alabama,South,Nonspecialized,Rural,23,10,85,94,8.9,59572,3.6,86,49,6.2
Colbert,2014-01-01,Alabama,South,Nonspecialized,Urban,25,7,76,78,10.2,50733,4.8,89,53,7.6
Conecuh,2014-01-01,Alabama,South,Nonspecialized,Rural,46,,78,169,12.4,33862,5.2,74,55,11.6
Coosa,2014-01-01,Alabama,South,Maufacturing,Rural,31,,48,89,12.4,43750,4.6,81,49,8.2
Covington,2014-01-01,Alabama,South,Nonspecialized,Rural,34,11,77,124,9.5,45223,5.2,83,69,7.5
Crenshaw,2014-01-01,Alabama,South,Maufacturing,Rural,29,,88,106,8.9,49393,3.8,77,54,7.2
Cullman,2014-01-01,Alabama,South,Nonspecialized,Rural,26,11,77,73,9.1,48442,4.4,87,56,6.4
Dale,2014-01-01,Alabama,South,Maufacturing,Rural,28,14,77,71,8.5,56075,3.9,85,50,7.3
Dallas,2014-01-01,Alabama,South,Maufacturing,Rural,60,12,71,87,12.8,37748,3.6,75,75,13.7
DeKalb,2014-01-01,Alabama,South,Maufacturing,Rural,30,10,86,92,8.7,45248,4.9,88,60,8.5
Elmore,2014-01-01,Alabama,South,Nonspecialized,Urban,21,10,74,81,8.8,64642,4.4,83,42,6.8
Escambia,2014-01-01,Alabama,South,Nonspecialized,Rural,38,8,77,117,11,36837,4.7,77,70,8.9
Etowah,2014-01-01,Alabama,South,Nonspecialized,Urban,31,11,75,93,8.9,49559,5,83,55,7.2
Fayette,2014-01-01,Alabama,South,Nonspecialized,Rural,28,,83,101,9.6,43833,5.2,82,49,8
Franklin,2014-01-01,Alabama,South,Maufacturing,Rural,31,,85,111,8.5,45476,4.4,86,66,8.2
Geneva,2014-01-01,Alabama,South,Nonspecialized,Urban,36,13,77,103,8.6,45188,3.4,87,52,6.9
Greene,2014-01-01,Alabama,South,Nonspecialized,Rural,48,,68,116,16,28879,5.3,84,53,11.4
Hale,2014-01-01,Alabama,South,Nonspecialized,Urban,39,,67,83,13.9,39617,4.1,77,44,9.9
Henry,2014-01-01,Alabama,South,Nonspecialized,Urban,29,,72,52,8.9,56516,3.5,85,49,7.3
Houston,2014-01-01,Alabama,South,Nonspecialized,Urban,29,13,71,59,8.7,52905,4.3,86,55,7
Jackson,2014-01-01,Alabama,South,Maufacturing,Rural,25,8,80,107,8.7,45543,5.3,86,53,7.1
Jefferson,2014-01-01,Alabama,South,Nonspecialized,Urban,28,15,73,56,11.6,59128,3.9,85,48,6.8
Lamar,2014-01-01,Alabama,South,Maufacturing,Rural,31,,73,96,9.1,41102,6,77,56,7.6
Lauderdale,2014-01-01,Alabama,South,Nonspecialized,Urban,29,6,81,70,10,55751,3.6,87,36,6.7
Lawrence,2014-01-01,Alabama,South,Maufacturing,Urban,29,,79,95,10,49934,5.5,84,52,8.1
Lee,2014-01-01,Alabama,South,Federal/State Government,Urban,21,18,87,54,8,60270,5.2,85,24,6.3
Limestone,2014-01-01,Alabama,South,Federal/State Government,Urban,19,9,82,72,9.3,60322,3.1,88,46,6.2
Lowndes,2014-01-01,Alabama,South,Maufacturing,Urban,43,16,63,61,13.7,39699,4.2,83,63,14.1
Macon,2014-01-01,Alabama,South,Federal/State Government,Rural,49,,86,54,11.5,41023,2.9,82,34,9.8
Madison,2014-01-01,Alabama,South,Federal/State Government,Urban,17,11,74,58,10.4,75885,3.5,86,34,6.2
Marengo,2014-01-01,Alabama,South,Nonspecialized,Rural,36,13,87,97,12.2,48729,4.5,76,49,9.4
Marion,2014-01-01,Alabama,South,Maufacturing,Rural,31,,73,121,9,42199,4.3,89,64,9.1
