Name,Control,Region,Locale,Admission Rate,SAT Average,% Female,Median Earnings of Graduate,Undergraduate Population,Completion Rate,Average Cost of Attendance,Out-of-State Tuition,Percentage of Undergraduates Aged 25 and Above,% Undergraduate Students Receiving Loans,Year
University of Phoenix-Bay Area Campus,Private,Far West,,,,0.7071921286,53400,1824,0.00515463917525,28050,11981,0.8121,0.675,2011-01-01
University of Phoenix-Southern California Campus,Private,Far West,,,,0.7071921286,53400,9204,0.01673640167364,28193,12792,0.7876,0.6645,2011-01-01
Westwood College-Dupage,Private,Great Lakes,,0.5085,,0.5365025467,29800,437,0.2125,26999,14923,0.3982,0.9044,2011-01-01
Wright Career College,Private,Plains,,,,0.7790672214,17900,1712,,15010,10640,0.6151,0.904,2011-01-01
Daymar College-Louisville,Private,Southeast,,,,0.8002077562,22100,492,,31151,17976,0.7175,0.8261,2011-01-01
Sanford-Brown College-Hazelwood,Private,Plains,,,,0.5903525955,29000,782,,20755,10269,0.5499,0.9745,2011-01-01
City College-Gainesville,Private,Southeast,,0.9206,,0.6963087248,26400,480,,27609,13200,0.6875,0.9052,2011-01-01
ITT Technical Institute-Jacksonville,Private,Southeast,,0.5705,,0.2879451453,38400,749,,27037,18048,0.8077,0.68,2011-01-01
Minnesota School of Business-Brooklyn Center,Private,Plains,,,,0.7017195767,35700,424,0.22222222222222,31250,15660,0.7104,0.8968,2011-01-01
ITT Technical Institute-Omaha,Private,Plains,,0.6281,,0.2879451453,38400,735,0,26825,18048,0.649,0.8757,2011-01-01
Omaha School of Massage and Healthcare of Herzing University,Private,Plains,,0.9839,,0.7845947156,42300,179,,28246,11040,0.514,0.8178,2011-01-01
Brown Mackie College-Fort Wayne,Private,Great Lakes,,,,0.716925205,25200,1303,,28558,11108,0.716,0.9016,2011-01-01
Florida National University-Main Campus,Private,Southeast,,,,0.6908680219,22000,2572,,25470,13170,0.6352,0.6697,2011-01-01
ITT Technical Institute-Fort Lauderdale,Private,Southeast,,0.549,,0.2879451453,38400,683,0,26218,18048,0.7379,0.8554,2011-01-01
South Texas College,Public,Southwest,,,,0.558041748,29100,19075,,5663,7170,0.2246,0,2011-01-01
Lincoln College of New England-Suffield,Private,New England,,,,0.7678375412,30300,56,,25746,19980,0.125,0.7143,2011-01-01
Everest Institute-Kendall,Private,Southeast,,,,0.7188006483,27900,676,,26859,15732,0.5266,0.6633,2011-01-01
California State University-Monterey Bay,Public,Far West,,0.5227,963,0.6559600286,41500,4729,0.1,18298,17123,0.1694,0.4941,2011-01-01
Sanford-Brown College-St Peters,Private,Plains,,,,0.8046387154,29300,506,,21830,11386,0.6344,0.934,2011-01-01
Colorado Technical University-Kansas City,Private,Plains,,,,0.657345786,44100,554,0.33333333333333,24090,10700,0.7599,0.953,2011-01-01
Heald College-Salinas,Private,Far West,,0.9093,,0.6987218503,32300,1490,,23413,13095,0.3664,0.7972,2011-01-01
Brown Mackie College-Atlanta,Private,Southeast,,,,0.716925205,25200,917,,27615,11108,0.6783,0.9049,2011-01-01
Bryant & Stratton College-Henrietta,Private,Mid East,,,,0.7770193402,22300,431,,22104,15605,0.5313,0.8973,2011-01-01
Argosy University-The Art Institute of California-Hollywood,Private,Far West,,0.509,,0.6835132483,38200,1780,0.26470588235294,32446,18948,0.2702,0.8928,2011-01-01
Sage College,Private,Far West,,,,0.9319248826,29900,600,,13821,12325,0.5817,0.9114,2011-01-01
Remington College-Memphis Campus,Private,Southeast,,0.5701,,0.8020723832,26200,938,,25811,15495,0.5235,0.8272,2011-01-01
Capella University,Private,Plains,,1,,0.7053968254,69500,7476,0,17997,11700,0.9706,0.8409,2011-01-01
College of Menominee Nation,Private,Great Lakes,,,,0.6365217391,21400,622,,14138,5910,0.5708,0,2011-01-01
ITT Technical Institute-Little Rock,Private,Southeast,,0.7759,,0.2879451453,38400,466,0.11764705882352,25737,18048,0.6738,0.873,2011-01-01
ITT Technical Institute-Oxnard,Private,Far West,,0.7681,,0.2879451453,38400,461,0,25306,18048,0.5965,0.8333,2011-01-01
ITT Technical Institute-Louisville,Private,Southeast,,0.6898,,0.2879451453,38400,856,0.05882352941176,26479,18048,0.6355,0.864,2011-01-01
ITT Technical Institute-Greenville,Private,Southeast,,0.7094,,0.2879451453,38400,517,0,25663,18048,0.6383,0.8536,2011-01-01
ITT Technical Institute-Cordova,Private,Southeast,,0.8029,,0.2879451453,38400,719,0.05172413793103,25898,18048,0.6287,0.8882,2011-01-01
Cairn University-Wisconsin Wilderness,Private,Great Lakes,,1,1041,0.5302419355,32600,22,,22870,14175,,0.8333,2011-01-01
Baker College of Jackson,Private,Great Lakes,,,,0.6666965594,26500,2695,0,17762,7560,0.6095,0.7449,2011-01-01
Mech-Tech College,Private,Outlying Areas,,,,0.0589755639,18900,3279,,11819,8754,0.2388,0.0063,2011-01-01
ITT Technical Institute-Everett,Private,Far West,,0.7888,,0.2762297068,42500,459,0.21428571428571,26282,18048,0.7102,0.7741,2011-01-01
ITT Technical Institute-Bessemer,Private,Southeast,,0.7749,,0.2879451453,38400,803,0.09302325581395,25829,18048,0.5978,0.849,2011-01-01
ITT Technical Institute-Orland Park,Private,Great Lakes,,0.5242,,0.2879451453,38400,549,,25643,18048,0.6794,0.9086,2011-01-01
Pacific College of Oriental Medicine-New York,Private,Mid East,,,,0.6938405797,23000,156,,51377,20488,0.8205,0.7252,2011-01-01
Baker College Center for Graduate Studies,Private,Great Lakes,,,,0.6666965594,26500,5170,0,22483,10080,0.8462,0.6743,2011-01-01
Johnson & Wales University-North Miami,Private,Southeast,,0.6332,,0.5926971959,35100,2099,0.33695652173913,36083,25407,0.0831,0.8384,2011-01-01
ITT Technical Institute-Pittsburgh,Private,Mid East,,0.7619,,0.2879451453,38400,350,,26974,18048,0.6343,0.8046,2011-01-01
Harrison College-Indianapolis East,Private,Great Lakes,,0.9643,,0.7950043066,24700,531,,22945,13215,0.6139,0.8841,2011-01-01
Trine University-Regional/Non-Traditional Campuses,Private,Great Lakes,,0.6392,,0.4467382329,42600,473,0,22660,9120,0.8105,0.4386,2011-01-01
Pennsylvania Highlands Community College,Public,Mid East,,,,0.5697852761,27800,1239,,6145,10200,0.1495,0.2772,2011-01-01
University of Phoenix-Las Vegas Campus,Private,Far West,,,,0.7071921286,53400,2199,0.00696864111498,26472,10858,0.8238,0.7123,2011-01-01
College of Business and Technology-Main Campus,Private,Southeast,,,,0.3460475401,23100,110,,21013,12236,0.7818,1,2011-01-01
City College-Altamonte Springs,Private,Southeast,,,,0.627039627,22900,253,,22796,12460,0.7668,0.8561,2011-01-01
Southeast Missouri Hospital College of Nursing and Health Sciences,Private,Plains,,1,,0.7899159664,47400,186,,23800,13800,0.6505,0.6274,2011-01-01
Messenger College,Private,Southwest,,0.8,,0.4102564103,,60,0.1,18614,8390,0.4667,0.6154,2011-01-01
Jefferson Lewis BOCES-Practical Nursing Program,Public,Mid East,,0.2963,,0.9246575342,31400,73,,16750,7900,0.6164,0.6949,2011-01-01
Veeb Nassau County School of Practical Nursing,Public,Mid East,,,,0.832278481,56600,198,,16098,14000,0.5808,0.899,2011-01-01
New York College of Health Professions,Private,Mid East,,0.8804,,0.6950819672,25700,668,,26033,12066,0.7254,0.5904,2011-01-01
York County School of Technology-Adult & Continuing Education,Public,Mid East,,0.4487,,0.9153846154,39700,64,,13333,14223,0.6406,0.9474,2011-01-01
Automeca Technical College-Aguadilla,Private,Outlying Areas,,,,0.028659612,18300,231,,11257,7031,0.29,0.1542,2011-01-01
Fortis Institute-Cookeville,Private,Southeast,,,,0.7804878049,23200,282,,26256,13600,0.539,0.4199,2011-01-01
Central California School of Continuing Education,Private,Far West,,,,0.8481848185,35600,320,,21078,9075,0.3656,0.9184,2011-01-01
Jna Institute of Culinary Arts,Private,Mid East,,,,0.4213836478,21600,65,,23073,10075,0.5231,0.25,2011-01-01
Argosy University-Northern Virginia,Private,Southeast,,,,0.6835132483,38200,96,,26372,12612,0.8542,0.8095,2011-01-01
University of Phoenix-Sacramento Valley Campus,Private,Far West,,,,0.7071921286,53400,3463,0.00666666666666,27804,11981,0.7995,0.711,2011-01-01
Automeca Technical College-Bayamon,Private,Outlying Areas,,,,0.028659612,18300,709,,10723,7031,0.2482,0.2122,2011-01-01
Automeca Technical College-Caguas,Private,Outlying Areas,,,,0.028659612,18300,305,,10397,7031,0.2328,0.2122,2011-01-01
Automeca Technical College-Ponce,Private,Outlying Areas,,,,0.028659612,18300,251,,11015,7031,0.3068,0.2741,2011-01-01
Everest University-Melbourne,Private,Southeast,,,,0.7730317926,25300,653,0.5,23421,14616,0.755,0.7768,2011-01-01
Centura College-Chesapeake,Private,Southeast,,,,0.8581096323,24500,213,,22968,10947,0.5634,0.2955,2011-01-01
University of Phoenix-Hawaii,Private,Far West,,,,0.7071921286,53400,1228,0.01204819277108,26085,11482,0.8355,0.5101,2011-01-01
Virginia College-Birmingham,Private,Southeast,,,,0.8010335917,26400,4992,0,27916,13726,0.7951,0.7414,2011-01-01
Virginia College-Huntsville,Private,Southeast,,,,0.8010335917,26400,604,0,22408,13140,0.6854,0.8802,2011-01-01
The College of Saints John Fisher & Thomas More,Private,Southwest,,1,,,,16,0.33333333333333,16429,12800,0.5,0.1791,2011-01-01
Northwest Vista College,Public,Southwest,,,,0.570647603,34100,12999,,9320,6992,0.2583,0.0644,2011-01-01
ITT Technical Institute-Getzville,Private,Mid East,,0.8277,,0.2879451453,38400,586,,26635,18048,0.6638,0.8099,2011-01-01
Oconee Fall Line Technical College,Public,Southeast,,,,0.703555333,22800,1628,,11914,3870,0.5102,0,2011-01-01
York County Community College,Public,New England,,,,0.6663414634,27500,1296,,12647,5940,0.4549,0.2738,2011-01-01
Sanford-Brown College-Atlanta,Private,Southeast,,,,0.8793424087,27200,1413,,25765,15358,0.6307,0.8661,2011-01-01
Sanford-Brown College-Middleburg Heights,Private,Great Lakes,,,,0.8793424087,27200,1139,,25611,15256,0.6216,0.8902,2011-01-01
Arkansas State University-Mountain Home,Public,Southeast,,,,0.6026596522,32700,1093,,18480,4770,0.445,0.3133,2011-01-01
Tillamook Bay Community College,Public,Far West,,,,0.5378063698,33100,468,,14996,4925,0.4004,0.2205,2011-01-01
Argosy University-Schaumburg,Private,Great Lakes,,,,0.6835132483,38200,171,,25603,12612,0.7895,0.7913,2011-01-01
University of Phoenix-Louisiana Campus,Private,Southeast,,,,0.7071921286,53400,603,0,26278,9859,0.8607,0.7144,2011-01-01
University of Phoenix-Detroit Campus,Private,Great Lakes,,,,0.7071921286,53400,1649,0,28070,11981,0.8399,0.7344,2011-01-01
Ross College-Hopkinsville,Private,Southeast,,,,0.716925205,25200,278,,29994,11108,0.6475,0.8074,2011-01-01
Arizona College-Glendale,Private,Southwest,,,,0.8121059269,25900,691,,22100,14935,0.5876,0.9792,2011-01-01
Living Arts College,Private,Southeast,,,,0.6244343891,29200,694,,27554,15325,0.4092,0.784,2011-01-01
New York Conservatory for Dramatic Arts,Private,Mid East,,0.71,,0.5675675676,27800,289,,45954,29050,0.0415,0.5921,2011-01-01
San Joaquin Valley College-Fresno Aviation,Private,Far West,,,,0.7074417724,26900,118,,21362,12265,0.6441,0.8252,2011-01-01
Georgia Military College-Columbus Campus,Public,Southeast,,,,0.626143007,31300,267,,12666,5962,0.4484,0.4916,2011-01-01
Oregon Coast Community College,Public,Far West,,,,0.6354545455,23900,435,,12081,7956,0.4573,0.4434,2011-01-01
Harrison College-Evansville,Private,Great Lakes,,0.975,,0.7950043066,24700,266,,21979,13215,0.6692,0.9056,2011-01-01
Le Cordon Bleu College of Culinary Arts-Pasadena,Private,Far West,,,,0.7701767171,34100,2719,,30983,16808,0.4134,0.6151,2011-01-01
Mildred Elley-Pittsfield Campus,Private,New England,,,,0.8640292553,22100,196,,20015,12677,0.551,0.8519,2011-01-01
Embry-Riddle Aeronautical University-Worldwide,Private,Southeast,,0.9579,,0.1483457844,60900,9863,0.32758620689655,18330,6960,0.8759,0.1143,2011-01-01
ITT Technical Institute-Webster,Private,Southwest,,0.8252,,0.2879451453,38400,443,,25902,18048,0.6479,0.8209,2011-01-01
Aviation Institute of Maintenance-Chesapeake,Private,Southeast,,,,0.0898876404,40000,391,,24997,13447,0.7519,0.2222,2011-01-01
Centura College-Richmond Main,Private,Southeast,,,,0.8577464789,25200,250,,25419,13867,0.64,0.7474,2011-01-01
Southeastern College-West Palm Beach,Private,Southeast,,0.9942,,0.7523267839,27900,1489,,26263,15064,0.6584,0.6777,2011-01-01
Argosy University-Tampa,Private,Southeast,,,,0.6835132483,38200,97,,26372,12612,0.7629,0.8222,2011-01-01
The Illinois Institute of Art-Schaumburg,Private,Great Lakes,,0.995,,0.5303146585,34900,1351,0.45116279069767,34080,17688,0.2709,0.8309,2011-01-01
Cambria-Rowe Business College-Indiana,Private,Mid East,,,,0.7797619048,22900,102,,18408,11205,0.5098,0.7016,2011-01-01
Klamath Community College,Public,Far West,,,,0.5291803279,24000,1199,,11941,5847,0.5739,0.6442,2011-01-01
The Art Institute of Phoenix,Private,Southwest,,0.4171,,0.716925205,25200,1190,0.49677419354838,34249,17616,0.3311,0.9038,2011-01-01
Urban College of Boston,Private,New England,,,,0.9420289855,23400,501,,9166,4724,0.9004,0,2011-01-01
ITT Technical Institute-Henderson,Private,Far West,,0.6563,,0.2879451453,38400,816,0.01694915254237,26974,18048,0.6618,0.8853,2011-01-01
Colorado Technical University-Greenwood Village,Private,Rocky Mountains,,,,0.657345786,44100,1014,0,21315,10660,0.7546,0.7761,2011-01-01
Heald College-Portland,Private,Far West,,0.9719,,0.6904003859,37400,1073,,26846,13095,0.6375,0.8057,2011-01-01
Golf Academy of America-Orlando,Private,Southeast,,,,0.8010335917,26400,226,,26692,16664,0.5841,0.5156,2011-01-01
Golf Academy of America-Phoenix,Private,Southwest,,,,0.8010335917,26400,188,,26756,16664,0.617,0.5401,2011-01-01
Strayer University-Maryland,Private,Mid East,,,,0.6851560534,51700,3333,0.1,31329,14805,0.8996,0.6524,2011-01-01
ITT Technical Institute-Hialeah,Private,Southeast,,0.6059,,0.2879451453,38400,680,0.14285714285714,25844,18048,0.6544,0.8851,2011-01-01
ITT Technical Institute-Harrisburg,Private,Mid East,,0.6761,,0.2879451453,38400,352,,25833,18048,0.5369,0.8515,2011-01-01
ITT Technical Institute-Tarentum,Private,Mid East,,0.7795,,0.2879451453,38400,282,,25697,18048,0.6028,0.8816,2011-01-01
ITT Technical Institute-Norwood,Private,Great Lakes,,0.6081,,0.2879451453,38400,558,,26756,18048,0.7043,0.8841,2011-01-01
ITT Technical Institute-Strongsville,Private,Great Lakes,,0.6129,,0.2879451453,38400,450,,25658,18048,0.7111,0.8869,2011-01-01
The Creative Center,Private,Plains,,0.79,,0.6404494382,33900,119,,39959,24700,0.042,0.885,2011-01-01
New Hampshire Institute of Art,Private,New England,,,,0.6886227545,,458,0,29947,20490,0.0677,0.917,2011-01-01
Colegio de Cinematografia Artes y Television,Private,Outlying Areas,,,,0.1956745623,16400,718,,8204,6550,0.2437,0,2011-01-01
Escuela Tecnica de Electricidad,Private,Outlying Areas,,,,0.0236363636,19600,416,,11743,9240,0.5385,0,2011-01-01
Dewey University-Hato Rey,Private,Outlying Areas,,,,0.6147186147,16200,332,,11843,8553,0.4669,0,2011-01-01
Mercy Hospital School of Nursing,Private,Mid East,,0.7167,,0.875,,68,,19631,12645,0.4559,0.5797,2011-01-01
Trinity College of Puerto Rico,Private,Outlying Areas,,,,0.754491018,17000,200,,9453,6147,0.395,0,2011-01-01
DeVry College of New York,Private,Mid East,,0.9429,,0.4830111389,46500,1629,0.1125,29070,15188,0.6327,0.8322,2011-01-01
DeVry University-Indiana,Private,Great Lakes,,0.9484,,0.4830111389,46500,438,0.25,29374,15188,0.7215,0.8919,2011-01-01
University of Phoenix-Washington,Private,Far West,,,,0.7071921286,53400,729,0.02564102564102,27217,11107,0.8491,0.69,2011-01-01
University of Phoenix-Central Florida Campus,Private,Southeast,,,,0.7071921286,53400,1341,0.016,27086,10858,0.8352,0.7016,2011-01-01
University of Phoenix-Oregon,Private,Far West,,,,0.7071921286,53400,1020,0.02542372881355,26857,10858,0.8069,0.7335,2011-01-01
Platt College-Ontario,Private,Far West,,,,0.7018726592,29800,594,0.57142857142857,31805,17991,0.4259,0.6766,2011-01-01
Delaware College of Art and Design,Private,Mid East,,0.6247,,0.6255506608,,247,,31522,20270,0.0243,0.7489,2011-01-01
Argosy University-The Art Institute of California-Los Angeles,Private,Far West,,0.404,,0.6835132483,38200,2175,0.24505928853754,33368,18948,0.2584,0.8376,2011-01-01
American University of Health Sciences,Private,Far West,,0.7922,,0.7222222222,36800,185,,66045,30700,0.5514,1,2011-01-01
Carolinas College of Health Sciences,Public,Southeast,,0.1579,985,0.8517110266,47300,394,,,,0.6038,0.388,2011-01-01
Western Governors University,Private,Rocky Mountains,,,,0.6298871375,38800,23654,0.07160194174757,19606,5870,0.7356,0.7524,2011-01-01
Santa Barbara Business College-Ventura,Private,Far West,,,,0.8800773694,32000,339,,24506,12160,0.4159,0.9298,2011-01-01
Herzing University-Kenner,Private,Southeast,,1,,0.7845947156,42300,393,,21968,11040,0.743,0.8349,2011-01-01
Spencerian College-Lexington,Private,Southeast,,,,0.8106145251,30900,439,,20795,15202,0.6667,0.7053,2011-01-01
Florida Gulf Coast University,Public,Southeast,,0.679,1016,0.5820026301,41200,11160,0.23727422003284,15942,23166,0.1431,0.3874,2011-01-01
Little Priest Tribal College,Private,Plains,,,,0.6120689655,16300,151,,8915,4380,0.5349,0,2011-01-01
ITT Technical Institute-Richardson,Private,Southwest,,0.5954,,0.2879451453,38400,730,,25294,18048,0.6863,0.8881,2011-01-01
Michigan Jewish Institute,Private,Great Lakes,,0.7969,,0.5939612438,18400,1331,0,15498,10700,0.1331,0.0031,2011-01-01
City College-Miami,Private,Southeast,,1,,0.6963087248,26400,324,,21211,13200,0.5895,0.7218,2011-01-01
ITT Technical Institute-Arnold,Private,Plains,,0.8571,,0.2879451453,38400,638,0.14893617021276,26077,18048,0.5925,0.8585,2011-01-01
ITT Technical Institute-Oak Brook,Private,Great Lakes,,0.6939,,0.2879451453,38400,451,,26270,18048,0.6142,0.8851,2011-01-01
ITT Technical Institute-Albany,Private,Mid East,,0.8058,,0.2879451453,38400,366,,25707,18048,0.6721,0.8629,2011-01-01
ITT Technical Institute-Liverpool,Private,Mid East,,0.814,,0.2879451453,38400,337,,25287,18048,0.7359,0.8679,2011-01-01
Community College of Baltimore County,Public,Mid East,,,,0.6299137755,34200,23929,,10469,8542,0.4537,0.1681,2011-01-01
Golf Academy of America-Myrtle Beach,Private,Southeast,,,,0.8010335917,26400,322,,25331,16664,0.4161,0.6093,2011-01-01
Centura College-North Charleston,Private,Southeast,,,,0.8111217641,20600,135,,25823,12867,0.6074,0.697,2011-01-01
Blue Cliff College-Metairie,Private,Southeast,,,,0.9058245083,25400,1119,,23076,15182,0.496,0.8075,2011-01-01
Dewey University-Carolina,Private,Outlying Areas,,,,0.6147186147,16200,946,,12009,8553,0.4619,0,2011-01-01
University of Phoenix-South Florida Campus,Private,Southeast,,,,0.7071921286,53400,1786,0.01818181818181,26941,10858,0.8583,0.7175,2011-01-01
University of Phoenix-North Florida Campus,Private,Southeast,,,,0.7071921286,53400,1158,0,26758,10858,0.9111,0.6084,2011-01-01
University of Phoenix-West Florida Campus,Private,Southeast,,,,0.7071921286,53400,809,0.0080971659919,26776,10858,0.8801,0.6633,2011-01-01
University of Phoenix-Maryland,Private,Mid East,,,,0.7071921286,53400,680,0.01639344262295,26352,9859,0.9132,0.5544,2011-01-01
University of Phoenix-Oklahoma City Campus,Private,Southwest,,,,0.7071921286,53400,649,0,26352,9859,0.8308,0.7349,2011-01-01
University of Phoenix-Tulsa Campus,Private,Southwest,,,,0.7071921286,53400,627,0,26352,9859,0.8006,0.7468,2011-01-01
Argosy University-Phoenix,Private,Southwest,,,,0.6835132483,38200,178,,25924,12612,0.764,0.7917,2011-01-01
Vatterott College-St Joseph,Private,Plains,,,,0.5561643836,34200,314,,19417,12033,0.5764,0.3955,2011-01-01
Vatterott College-Sunset Hills,Private,Plains,,,,0.4599363226,28700,734,1,23843,11973,0.7548,0.5458,2011-01-01
Dewey University-Bayamon,Private,Outlying Areas,,,,0.6147186147,16200,612,,11780,8553,0.4167,0,2011-01-01
National American University-Bloomington,Private,Plains,,,,0.7625213961,37800,650,0,20441,14007,0.7914,0.9401,2011-01-01
Century College,Private,Outlying Areas,,,,0.6990950226,15000,365,,10725,6875,0.263,0.0077,2011-01-01
International Baptist College and Seminary,Private,Southwest,,,,0.46875,,59,0.16666666666666,24643,11566,0.1385,0.3026,2011-01-01
University of Connecticut-Waterbury Campus,Public,New England,,0.5478,1012,0.5211044472,53900,2456,0.24666666666666,12185,25770,0.1867,0.4444,2011-01-01
University of Connecticut-Avery Point,Public,New England,,0.6246,1006,0.5211044472,53900,738,0.28313253012048,11864,25770,0.2347,0.4654,2011-01-01
University of Connecticut-Stamford,Public,New England,,0.4915,1002,0.5211044472,53900,1128,0.28571428571428,12206,25780,0.2557,0.3528,2011-01-01
ITT Technical Institute-Saint Rose,Private,Southeast,,0.7333,,0.2879451453,38400,623,,26526,18048,0.6324,0.8566,2011-01-01
ITT Technical Institute-Richmond,Private,Southeast,,0.758,,0.2879451453,38400,713,0.12903225806451,25421,18048,0.5975,0.8857,2011-01-01
ITT Technical Institute-Lathrop,Private,Far West,,0.8322,,0.2879451453,38400,635,0.21052631578947,24444,18048,0.4598,0.8769,2011-01-01
The English Center,Private,Far West,,,,0.5319148936,22700,119,,21350,9245,0.7143,0,2011-01-01
Westwood College-Anaheim,Private,Far West,,0.5912,,0.4678003903,35000,1049,0.31617647058823,26495,15020,0.2679,0.8779,2011-01-01
Stevens-Henager College,Private,Rocky Mountains,,,,0.6296720936,31700,4083,0,21120,15790,0.7279,0.5948,2011-01-01
McCann School of Business & Technology,Private,Mid East,,,,0.7588816806,27800,4396,,19657,9805,0.515,0.8889,2011-01-01
University of Phoenix-Southern Colorado Campus,Private,Rocky Mountains,,,,0.7071921286,53400,591,0,26352,9859,0.846,0.5235,2011-01-01
University of Phoenix-West Michigan Campus,Private,Great Lakes,,,,0.7071921286,53400,750,0,27552,11107,0.776,0.721,2011-01-01
Stratford University,Private,Southeast,,,,0.6833046472,36800,1312,0,28601,15135,0.7029,0.7546,2011-01-01
American InterContinental University-Atlanta,Private,Southeast,,0.9668,,0.6383245745,43000,1629,0.09719222462203,25470,16691,0.4657,0.9251,2011-01-01
American InterContinental University-South Florida,Private,Southeast,,0.9659,,0.6383245745,43000,598,0.22522522522522,28339,15425,0.5958,0.868,2011-01-01
University of Phoenix-Philadelphia Campus,Private,Mid East,,,,0.7071921286,53400,780,0,25804,9859,0.7644,0.6675,2011-01-01
University of Phoenix-Pittsburgh Campus,Private,Mid East,,,,0.7071921286,53400,131,0,26352,9859,0.7481,0.6641,2011-01-01
Altierus Career College-Chesapeake,Private,Southeast,,,,0.7339366516,23000,772,,23635,11700,0.6075,0.5491,2011-01-01
Aviation Institute of Maintenance-Indianapolis,Private,Great Lakes,,,,0.0909090909,39700,213,,26387,13447,0.6338,0.6392,2011-01-01
Remington College-Little Rock Campus,Private,Southeast,,0.7225,,0.8020723832,26200,362,,27141,15495,0.5691,0.7315,2011-01-01
Everest University-Jacksonville,Private,Southeast,,,,0.7310748641,25300,731,0.28571428571428,16998,14976,0.6936,0.7083,2011-01-01
Harrison College-Fort Wayne,Private,Great Lakes,,0.5248,,0.7950043066,24700,631,,21979,13215,0.6577,0.69,2011-01-01
Argosy University-Seattle,Private,Far West,,,,0.6835132483,38200,98,,25924,12612,0.7245,0.767,2011-01-01
ITT Technical Institute-Wilmington,Private,New England,,0.7978,,0.2879451453,38400,488,,26023,18048,0.6516,0.872,2011-01-01
Pierce College-Puyallup,Public,Far West,,,,0.6601489758,34200,2481,,12107,8645,0.3323,0.1862,2011-01-01
DeVry University-Florida,Private,Southeast,,0.8243,,0.4830111389,46500,3640,0.30597014925373,29529,15188,0.7108,0.8449,2011-01-01
University of Phoenix-St Louis Campus,Private,Plains,,,,0.7071921286,53400,790,0,28292,11981,0.7646,0.7331,2011-01-01
Johnson & Wales University-Denver,Private,Rocky Mountains,,0.696,,0.5926971959,35100,1655,0.38721804511278,36083,25407,0.1669,0.844,2011-01-01
University of Phoenix-Ohio,Private,Great Lakes,,,,0.7071921286,53400,513,0,28392,11981,0.848,0.7515,2011-01-01
Du Bois Business College-Huntingdon,Private,Mid East,,,,0.77,24200,73,,19330,10305,0.6712,0.7869,2011-01-01
Du Bois Business College-Oil City,Private,Mid East,,,,0.77,24200,46,,17250,10305,0.5217,0.8431,2011-01-01
DeVry University-Maryland,Private,Mid East,,0.7917,,0.4830111389,46500,130,,29706,15188,0.7538,0.8189,2011-01-01
MDT College of Health Sciences,Private,Great Lakes,,0.9343,,0.8970189702,32800,331,,34351,23356,0.2115,0.9632,2011-01-01
Blue Cliff College-Shreveport,Private,Southeast,,,,0.8954344624,23800,421,,26403,14644,0.5938,0.9686,2011-01-01
Blue Cliff College-Lafayette,Private,Southeast,,,,0.8684843625,24000,227,,24251,14344,0.5286,0.8353,2011-01-01
Crossroads Bible College,Private,Great Lakes,,,,0.476744186,26800,213,0,23173,12220,0.6869,0.9224,2011-01-01
The King's University,Private,Southwest,,0.7391,,0.4236111111,34700,242,0.5,22161,10080,0.5868,0.5388,2011-01-01
Fortis College-Orange Park,Private,Southeast,,,,0.6845425868,23500,499,,22744,12440,0.6413,0.643,2011-01-01
Pacific Islands University,Private,Outlying Areas,,0.7143,,0.5555555556,,79,0,16536,7630,0.4096,0,2011-01-01
Rosedale Bible College,Private,Great Lakes,,0.9024,,0.5151515152,,70,,17551,8100,0.1039,0.4512,2011-01-01
Acupuncture and Massage College,Private,Southeast,,0.7143,,0.6624203822,24000,45,,31111,10275,0.6889,0.7317,2011-01-01
Aviation Institute of Maintenance-Atlanta,Private,Southeast,,,,0.0812064965,43200,555,,24695,13347,0.618,0.9189,2011-01-01
Westwood College-River Oaks,Private,Great Lakes,,0.4618,,0.5191424196,32200,523,0.2,27343,14923,0.5946,0.9241,2011-01-01
ITT Technical Institute-Green Bay,Private,Great Lakes,,0.8041,,0.2879451453,38400,600,0.08974358974358,26635,18048,0.6833,0.8907,2011-01-01
Ivy Tech Community College-Bloominton,Public,Great Lakes,,,,0.5369036904,29700,5330,,15803,7026,0.4245,0.4235,2011-01-01
Remington College-Baton Rouge Campus,Private,Southeast,,0.7013,,0.8082165109,22500,409,,25070,15995,0.4548,0.7408,2011-01-01
Everest College-Ontario Metro,Private,Far West,,,,0.6705479452,23000,1089,,25461,14238,0.5197,0.8339,2011-01-01
Metropolitan Community College-Blue River,Public,Plains,,,,0.6024153074,29400,2888,,5781,6330,0.3666,0.1928,2011-01-01
The Art Institute of Washington,Private,Southeast,,0.4881,,0.4814148046,31600,2092,0.15384615384615,36674,17796,0.3419,0.8373,2011-01-01
Centura College-Richmond Westend,Private,Southeast,,,,0.8577464789,25200,131,,27642,13867,0.687,0.4118,2011-01-01
Arkansas State University-Newport,Public,Southeast,,,,0.6026596522,32700,1500,,8971,4480,0.324,0.176,2011-01-01
University of Phoenix-Massachusetts,Private,New England,,,,0.7071921286,53400,261,0,28392,11981,0.8314,0.5802,2011-01-01
University of Phoenix-Dallas Campus,Private,Southwest,,,,0.7071921286,53400,1190,0.003367003367,27284,11107,0.8942,0.6676,2011-01-01
University of Phoenix-Houston Campus,Private,Southwest,,,,0.7071921286,53400,2366,0.00580270793036,27016,11107,0.8757,0.6638,2011-01-01
University of Phoenix-Wisconsin,Private,Great Lakes,,,,0.7071921286,53400,438,0,27356,11107,0.7945,0.6575,2011-01-01
