County,Year,State,Region,Distance from Metro,Persistent Poverty,Access to Healthcare,% Obese,% Poor Health,Quality of Healthcare,Sexually Transmitted Infections,% Single-Parent Households,% Smokers,% Some College,% Uninsured,Violent Crime Rate
Howell,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,74,29,21,52.7,229,29,27,49.1,19,302
Iron,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,19,31,28,51.8,122,29,41,50.1,19,212
Jackson,2014-01-01,Missouri,Midwest,In Metropolitan,No,75,32,15,63.4,839,43,22,63.4,18,807
Jasper,2014-01-01,Missouri,Midwest,In Metropolitan,No,81,33,16,59.9,527,37,20,54.4,20,403
Jefferson,2014-01-01,Missouri,Midwest,In Metropolitan,No,23,35,16,61.7,169,27,28,64.3,13,262
Johnson,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,43,33,14,52,625,26,18,68,16,151
Knox,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,97,33,,52.9,,23,,48.5,24,130
Laclede,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,65,32,20,57.9,253,35,26,40.4,18,594
Lafayette,2014-01-01,Missouri,Midwest,In Metropolitan,No,30,31,9,52.3,256,26,23,56.1,15,127
Lawrence,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,54,30,18,60.1,210,32,27,48.7,20,376
Lewis,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,30,34,17,53.1,266,24,23,49.7,17,72
Lincoln,2014-01-01,Missouri,Midwest,In Metropolitan,No,15,37,18,57.5,181,24,34,51.3,15,211
Linn,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,64,35,19,44.3,159,28,26,51,16,184
Livingston,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,73,28,25,56.3,398,32,20,48.9,16,229
McDonald,2014-01-01,Missouri,Midwest,In Metropolitan,No,13,32,26,46.5,248,33,34,42.5,25,385
Macon,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,32,31,12,56.5,225,25,18,55.7,18,190
Madison,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,33,36,28,58.8,66,34,39,50.7,19,160
Maries,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,11,31,12,61.3,98,31,,51.2,21,276
Marion,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,87,28,15,59.2,401,35,24,51.8,15,299
Mercer,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,26,32,,50,,41,28,49.9,21,208
Miller,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,24,35,22,54.6,214,34,28,44.9,20,374
Mississippi,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,Yes,28,34,35,60,350,41,24,32,19,456
Moniteau,2014-01-01,Missouri,Midwest,In Metropolitan,No,32,31,14,65.9,140,20,,48.9,19,127
Monroe,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,34,32,21,60.5,206,27,26,44,19,305
Montgomery,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,33,31,,57.6,147,33,28,44.4,20,127
Morgan,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,20,29,21,59.3,146,27,35,40.6,22,251
New Madrid,2014-01-01,Missouri,Midwest,Far from Metropolitan,Yes,16,33,24,53.6,282,46,27,41.7,17,249
Newton,2014-01-01,Missouri,Midwest,In Metropolitan,No,21,32,16,59.1,259,27,18,55.4,20,234
Nodaway,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,60,30,14,67,349,24,15,52.1,15,208
Oregon,2014-01-01,Missouri,Midwest,Far from Metropolitan,Yes,9,32,19,44.3,191,29,23,47.8,22,181
Osage,2014-01-01,Missouri,Midwest,In Metropolitan,No,7,29,15,71.2,86,23,12,53.8,16,181
Ozark,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,21,29,16,53.1,,42,,39,24,174
Pemiscot,2014-01-01,Missouri,Midwest,Far from Metropolitan,Yes,28,35,32,49.4,666,55,33,40.1,15,727
Perry,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,42,33,18,58.5,173,25,16,49.6,16,158
Pettis,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,40,32,21,57.5,422,26,25,54,20,439
Phelps,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,100,33,22,64.8,358,28,27,61.8,18,322
Pike,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,32,33,19,50.4,242,33,27,34.7,18,223
Platte,2014-01-01,Missouri,Midwest,In Metropolitan,No,70,29,11,65.2,259,27,16,76.3,10,447
Polk,2014-01-01,Missouri,Midwest,In Metropolitan,No,58,34,19,61.5,260,23,17,53.2,19,420
Pulaski,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,28,34,22,46.4,726,27,23,65.7,17,312
Putnam,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,,30,17,55.8,141,26,19,51.5,20,20
Ralls,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,19,32,15,60.2,253,24,21,51.3,16,136
Randolph,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,59,34,21,57.3,351,40,27,47.4,17,141
Ray,2014-01-01,Missouri,Midwest,In Metropolitan,No,43,31,22,57,245,26,27,46.1,15,187
Reynolds,2014-01-01,Missouri,Midwest,Far from Metropolitan,Yes,61,35,28,44.8,121,42,23,41.9,20,309
Ripley,2014-01-01,Missouri,Midwest,Far from Metropolitan,Yes,14,34,21,46.8,170,37,47,36.5,20,192
St. Charles,2014-01-01,Missouri,Midwest,In Metropolitan,No,47,31,10,68.2,211,20,17,77,10,157
St. Clair,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,62,34,21,52,207,30,,44.7,20,166
Ste. Genevieve,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,44,29,16,66.7,110,24,27,56.7,15,307
St. Francois,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,88,32,26,61.5,262,29,29,48.3,16,244
St. Louis,2014-01-01,Missouri,Midwest,In Metropolitan,No,118,28,12,67.4,556,35,17,75.4,13,319
Saline,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,56,34,16,70.3,447,38,29,52.5,18,224
Schuyler,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,46,31,13,62.3,114,24,,45.5,22,46
Scotland,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,104,36,25,38.8,,15,14,48.3,22,145
Scott,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,59,32,23,60,378,39,24,47.3,16,789
Shannon,2014-01-01,Missouri,Midwest,Far from Metropolitan,Yes,12,37,25,48,71,28,32,44.4,22,181
Shelby,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,,32,16,55.1,80,25,11,55.3,18,99
Stoddard,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,60,33,18,60.1,255,31,29,45.1,18,198
Stone,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,31,31,18,67.9,140,37,25,42.1,21,324
Sullivan,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,60,30,20,58.3,150,48,44,41.6,22,230
Taney,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,No,80,31,20,60.8,199,37,31,54.9,22,540
Texas,2014-01-01,Missouri,Midwest,Far from Metropolitan,Yes,46,34,30,52.3,231,34,31,39.5,20,89
Vernon,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,33,31,19,59.4,229,42,23,47,19,438
Warren,2014-01-01,Missouri,Midwest,In Metropolitan,No,15,31,18,65.8,206,29,25,52.9,15,290
Washington,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,Yes,20,33,26,51.6,156,33,34,37.7,18,176
Wayne,2014-01-01,Missouri,Midwest,Far from Metropolitan,Yes,37,28,27,52.9,,31,37,34.3,21,86
Webster,2014-01-01,Missouri,Midwest,In Metropolitan,No,33,32,21,56.2,167,24,17,44.3,22,102
Worth,2014-01-01,Missouri,Midwest,Far from Metropolitan,No,,30,,50,233,27,,48.1,21,220
Wright,2014-01-01,Missouri,Midwest,Adjacent to Metropolitan,Yes,32,35,20,45.1,198,28,24,43.5,21,240
St. Louis City,2014-01-01,Missouri,Midwest,In Metropolitan,Yes,71,33,18,57.4,1459,63,27,66.6,21,1990
Beaverhead,2014-01-01,Montana,West,Far from Metropolitan,No,87,25,11,67.6,109,20,11,75.3,25,186
Big Horn,2014-01-01,Montana,West,Adjacent to Metropolitan,Yes,92,35,22,41.3,878,44,27,50.5,30,233
Blaine,2014-01-01,Montana,West,Far from Metropolitan,Yes,61,34,19,61.3,762,45,30,63.3,31,171
Broadwater,2014-01-01,Montana,West,Far from Metropolitan,No,35,30,12,71.9,70,15,11,52,23,256
Carbon,2014-01-01,Montana,West,In Metropolitan,No,60,25,11,58.6,70,27,16,61.3,22,234
Carter,2014-01-01,Montana,West,Far from Metropolitan,No,0,24,13,70.6,,13,,65.8,30,56
Cascade,2014-01-01,Montana,West,In Metropolitan,No,67,27,14,72.2,492,30,18,68,20,244
Chouteau,2014-01-01,Montana,West,Adjacent to Metropolitan,No,17,29,11,71.4,104,28,15,60.2,27,149
Custer,2014-01-01,Montana,West,Far from Metropolitan,No,102,24,19,56.1,264,23,15,65.5,19,159
Daniels,2014-01-01,Montana,West,Far from Metropolitan,No,57,24,,55.6,,24,14,76.4,21,195
Dawson,2014-01-01,Montana,West,Far from Metropolitan,No,33,27,14,59.1,145,37,15,61.1,18,170
Deer Lodge,2014-01-01,Montana,West,Far from Metropolitan,No,86,27,20,61,312,32,29,57.8,20,361
Fallon,2014-01-01,Montana,West,Far from Metropolitan,No,68,25,8,58.6,,23,15,61.6,19,129
Fergus,2014-01-01,Montana,West,Far from Metropolitan,No,104,25,10,72.9,209,16,16,61.6,23,193
Flathead,2014-01-01,Montana,West,Far from Metropolitan,No,71,21,14,66.7,314,25,17,65,24,320
Gallatin,2014-01-01,Montana,West,Far from Metropolitan,No,81,18,8,67.4,302,21,13,81,19,174
Garfield,2014-01-01,Montana,West,Far from Metropolitan,No,0,24,,,,17,20,60.3,33,28
Glacier,2014-01-01,Montana,West,Far from Metropolitan,Yes,110,32,20,36,903,43,35,51.2,30,241
Golden Valley,2014-01-01,Montana,West,In Metropolitan,Yes,116,29,,,,28,,49,30,
Granite,2014-01-01,Montana,West,Adjacent to Metropolitan,No,,21,8,61.8,,43,21,54.2,26,89
Hill,2014-01-01,Montana,West,Far from Metropolitan,No,67,33,17,55.4,1165,32,30,65.2,23,541
Jefferson,2014-01-01,Montana,West,Far from Metropolitan,No,97,20,11,60.7,88,18,17,68.8,17,160
Judith Basin,2014-01-01,Montana,West,Adjacent to Metropolitan,No,,26,10,69.2,,5,9,72.5,29,0
Lake,2014-01-01,Montana,West,Adjacent to Metropolitan,No,76,27,15,67.2,546,40,23,59.5,28,385
Lewis and Clark,2014-01-01,Montana,West,Far from Metropolitan,No,86,24,13,69.1,216,25,17,76.8,16,299
Liberty,2014-01-01,Montana,West,Far from Metropolitan,No,125,27,,72.7,208,24,,59.7,23,
Lincoln,2014-01-01,Montana,West,Far from Metropolitan,No,77,26,18,61.3,174,22,21,51.6,25,210
McCone,2014-01-01,Montana,West,Far from Metropolitan,No,0,25,7,63.6,,14,,57.7,25,78
Madison,2014-01-01,Montana,West,Far from Metropolitan,No,65,23,11,58.9,52,13,13,64.4,26,69
Meagher,2014-01-01,Montana,West,Far from Metropolitan,No,105,26,,59.1,,35,18,34.9,28,159
Mineral,2014-01-01,Montana,West,Adjacent to Metropolitan,No,48,30,23,53.3,190,39,20,46.4,26,113
Missoula,2014-01-01,Montana,West,In Metropolitan,No,85,21,11,70.4,347,29,17,76.1,22,269
Musselshell,2014-01-01,Montana,West,Adjacent to Metropolitan,No,,24,15,55.6,213,18,20,48.4,24,397
Park,2014-01-01,Montana,West,Far from Metropolitan,No,103,23,19,51.7,116,24,14,61.7,22,227
Petroleum,2014-01-01,Montana,West,Far from Metropolitan,No,0,24,,,,15,,69,28,
Phillips,2014-01-01,Montana,West,Far from Metropolitan,No,24,27,13,58.3,118,23,16,50.7,29,258
Pondera,2014-01-01,Montana,West,Far from Metropolitan,No,48,29,15,54.7,144,21,19,66.9,26,160
Powder River,2014-01-01,Montana,West,Far from Metropolitan,No,0,25,10,43.3,,27,16,74.1,28,
Powell,2014-01-01,Montana,West,Adjacent to Metropolitan,No,113,25,19,50.9,156,33,23,55.5,22,198
Prairie,2014-01-01,Montana,West,Far from Metropolitan,No,86,27,,,431,25,,52.3,24,58
Ravalli,2014-01-01,Montana,West,Adjacent to Metropolitan,No,69,21,14,64.5,190,26,19,56,23,246
Richland,2014-01-01,Montana,West,Far from Metropolitan,No,59,31,12,70.5,326,23,19,56.4,20,128
Roosevelt,2014-01-01,Montana,West,Far from Metropolitan,No,38,36,18,45.8,1292,42,27,43.8,26,314
Rosebud,2014-01-01,Montana,West,Far from Metropolitan,No,53,33,16,48.4,693,32,21,59,24,220
Sanders,2014-01-01,Montana,West,Adjacent to Metropolitan,No,61,27,16,52,105,27,22,47.3,30,264
Sheridan,2014-01-01,Montana,West,Far from Metropolitan,No,29,28,16,63.8,116,29,13,72.7,21,220
Silver Bow,2014-01-01,Montana,West,Far from Metropolitan,No,76,27,16,60.1,271,34,23,60.7,19,345
Stillwater,2014-01-01,Montana,West,Adjacent to Metropolitan,No,11,25,9,62.3,186,19,14,60.8,16,166
Sweet Grass,2014-01-01,Montana,West,Far from Metropolitan,No,28,22,7,61.1,166,15,15,46.9,21,242
Teton,2014-01-01,Montana,West,Adjacent to Metropolitan,No,16,24,13,64.7,148,20,18,61,24,105
Toole,2014-01-01,Montana,West,Far from Metropolitan,No,95,29,15,65.1,191,28,16,49.4,22,423
Treasure,2014-01-01,Montana,West,Adjacent to Metropolitan,No,0,25,,,,21,,53.6,25,
Valley,2014-01-01,Montana,West,Far from Metropolitan,No,53,27,17,51.3,174,31,18,67.2,24,125
Wheatland,2014-01-01,Montana,West,Far from Metropolitan,No,,25,16,64.5,,13,26,58.3,26,137
Wibaux,2014-01-01,Montana,West,Far from Metropolitan,No,0,28,,,,17,,75.6,25,0
Yellowstone,2014-01-01,Montana,West,In Metropolitan,No,82,27,13,65.9,369,32,17,66.4,20,238
Adams,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,83,29,13,63.2,288,22,15,67,14,149
Antelope,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,60,28,12,62.7,76,26,13,66.1,15,26
Arthur,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,0,29,9,,,13,,89.3,18,0
Banner,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,0,33,14,,,9,23,86.9,19,
Blaine,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,0,31,4,,,34,,82.4,23,
Boone,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,148,28,10,83.8,148,14,13,59.4,12,
Box Butte,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,35,32,13,44.8,185,35,21,54.7,13,205
Boyd,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,144,31,11,61.5,,7,15,52.4,19,32
Brown,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,32,32,21,56.6,,26,17,68.9,18,74
Buffalo,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,88,30,10,63.1,446,27,15,69,13,152
Burt,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,29,31,13,61.7,74,19,17,68.8,15,84
Butler,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,72,28,14,58.7,181,22,21,62.7,10,42
Cass,2014-01-01,Nebraska,Midwest,In Metropolitan,No,32,32,8,56.7,131,16,19,70.7,10,61
Cedar,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,34,28,10,56.4,46,16,12,67.4,14,31
Chase,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,50,27,8,53.3,,33,11,67.6,17,156
Cherry,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,69,27,12,56.3,69,16,15,75.8,18,182
Cheyenne,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,50,28,12,60,130,30,18,73.2,11,60
Clay,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,,35,13,68.1,93,27,14,63.1,14,
Colfax,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,19,34,15,61.3,207,34,17,39.8,21,
Cuming,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,44,30,13,64.8,65,18,14,65.2,16,33
Custer,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,92,32,12,54.8,92,18,13,70.5,15,113
Dakota,2014-01-01,Nebraska,Midwest,In Metropolitan,No,5,34,19,51.5,86,31,21,38.4,20,113
Dawes,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,65,30,15,50,315,25,18,80.4,17,155
Dawson,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,62,32,13,60.5,283,32,18,38.3,20,159
Deuel,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,50,28,11,54.5,,22,21,64.8,16,35
Dixon,2014-01-01,Nebraska,Midwest,In Metropolitan,No,33,33,10,50,84,25,18,63.6,15,78
Dodge,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,63,30,14,67.4,212,29,20,56.1,15,141
Douglas,2014-01-01,Nebraska,Midwest,In Metropolitan,No,98,28,12,64.6,602,33,19,71.7,14,483
Dundy,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,101,30,13,50,,28,12,68,17,
Fillmore,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,85,29,10,69.4,188,19,13,72.7,13,
Franklin,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,62,32,13,53.8,,16,18,63,15,21
Frontier,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,,32,10,63.3,,20,12,73.8,15,
Furnas,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,40,32,11,65.8,101,24,17,59.8,15,
Gage,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,73,34,18,72.2,218,25,21,65.9,11,253
Garden,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,,26,14,55.9,,21,23,65,17,
Garfield,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,49,28,7,52.4,,19,11,63.8,21,
Gosper,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,50,30,9,66.7,,8,,71.1,13,52
Grant,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,0,28,9,,,30,,72.8,16,
Greeley,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,,33,9,58.1,,18,10,56.9,17,
Hall,2014-01-01,Nebraska,Midwest,In Metropolitan,No,59,31,14,62.2,254,34,17,50.2,17,328
Hamilton,2014-01-01,Nebraska,Midwest,In Metropolitan,No,77,30,11,52.5,88,17,15,73.4,10,87
Harlan,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,59,29,11,60,,17,17,65.3,15,61
Hayes,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,0,28,7,,,14,11,59,22,
Hitchcock,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,,34,13,57.1,140,20,21,57.1,17,127
Holt,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,106,30,12,52.1,,16,13,66.4,15,
Hooker,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,274,32,11,,,13,,88.9,17,0
Howard,2014-01-01,Nebraska,Midwest,In Metropolitan,No,63,32,12,62.1,142,17,13,60.5,13,
Jefferson,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,66,32,15,48,146,31,17,55.7,13,28
Johnson,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,38,30,14,52.7,77,15,19,47,15,19
Kearney,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,30,29,8,74.5,76,10,17,72,11,77
Keith,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,72,28,15,50.8,84,31,19,68.3,16,81
Keya Paha,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,0,27,,,,24,14,80.5,21,0
Kimball,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,26,31,16,50.9,185,29,25,66.7,16,
Knox,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,47,28,12,69.2,82,24,14,64.4,18,12
Lancaster,2014-01-01,Nebraska,Midwest,In Metropolitan,No,72,27,10,66.6,444,27,18,76.3,12,405
Lincoln,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,53,32,15,61.9,437,27,16,68.1,12,179
Logan,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,0,29,,,,10,,76.4,18,
Loup,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,0,30,15,,,11,,55.4,17,
McPherson,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,0,28,,,,19,20,80.8,16,
Madison,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,83,29,13,63.4,195,28,18,66.2,15,126
Merrick,2014-01-01,Nebraska,Midwest,In Metropolitan,No,52,33,11,67.5,91,23,18,64,13,142
Morrill,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,40,29,16,43.5,180,36,20,56.4,15,66
Nance,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,,31,12,50,187,35,13,58.2,16,36
Nemaha,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,69,35,13,50,234,16,17,74,13,69
Nuckolls,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,112,30,11,79.4,89,27,13,60.9,14,66
Otoe,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,44,35,12,70.5,171,22,17,64.8,12,31
Pawnee,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,73,33,13,61.9,,15,9,46.2,15,37
Perkins,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,102,30,9,70.6,,21,16,72.2,14,0
Phelps,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,98,33,10,61.4,76,18,13,71.5,11,80
Pierce,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,97,35,8,65.8,,17,13,72.8,14,48
Platte,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,46,30,13,62.5,239,31,15,64.5,14,102
Polk,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,38,33,8,64.3,132,17,18,73.2,12,19
Red Willow,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,54,30,15,52.2,100,17,18,71.6,13,73
Richardson,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,48,33,15,55.6,108,26,18,59.7,16,79
Rock,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,0,30,11,60,,28,12,64.7,23,0
Saline,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,63,32,13,70.7,286,22,14,55.4,16,151
Sarpy,2014-01-01,Nebraska,Midwest,In Metropolitan,No,52,28,10,59.2,349,23,17,78.4,9,72
Saunders,2014-01-01,Nebraska,Midwest,In Metropolitan,No,29,31,11,60.6,105,17,19,70.1,10,68
Scotts Bluff,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,76,32,14,56.5,316,39,18,59.8,15,167
Seward,2014-01-01,Nebraska,Midwest,In Metropolitan,No,72,29,8,63.2,102,14,14,77.3,9,38
Sheridan,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,74,30,13,56.5,93,22,12,67.6,18,228
Sherman,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,,34,14,64.3,129,16,18,58.1,16,32
Sioux,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,0,28,10,53.6,,9,14,70.6,17,
Stanton,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,,31,14,53.3,65,21,23,71.6,12,48
Thayer,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,97,28,13,55.8,97,13,12,65.9,13,52
Thomas,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,0,32,,,,9,,80.2,20,
Thurston,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,Yes,43,40,18,31.3,1028,56,34,51,19,
Valley,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,47,30,13,50.8,190,18,9,64.9,15,
Washington,2014-01-01,Nebraska,Midwest,In Metropolitan,No,34,31,8,69.3,113,15,17,69.8,9,22
Wayne,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,42,29,12,70.6,232,27,13,82.6,13,74
Webster,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,79,32,13,70,,13,12,59.9,15,108
Wheeler,2014-01-01,Nebraska,Midwest,Far from Metropolitan,No,0,27,,,,5,,73.2,18,41
York,2014-01-01,Nebraska,Midwest,Adjacent to Metropolitan,No,80,33,11,63.1,189,23,18,66,12,36
Churchill,2014-01-01,Nevada,West,Adjacent to Metropolitan,No,53,32,14,59.2,215,29,24,57.7,22,200
Clark,2014-01-01,Nevada,West,In Metropolitan,No,55,25,18,53.9,423,36,21,54.8,24,752
Douglas,2014-01-01,Nevada,West,Adjacent to Metropolitan,No,66,23,15,65.7,139,29,18,69.9,20,163
Elko,2014-01-01,Nevada,West,Far from Metropolitan,No,44,33,18,49,196,25,24,55.4,22,308
Esmeralda,2014-01-01,Nevada,West,Far from Metropolitan,No,0,29,,,,26,,40.9,34,421
Eureka,2014-01-01,Nevada,West,Far from Metropolitan,No,51,26,,,,1,,52.9,19,536
Humboldt,2014-01-01,Nevada,West,Far from Metropolitan,No,54,27,15,48.1,263,26,22,51.1,24,369
Lander,2014-01-01,Nevada,West,Far from Metropolitan,No,17,27,17,28.1,69,13,17,56.6,20,615
Lincoln,2014-01-01,Nevada,West,Adjacent to Metropolitan,No,38,27,12,49,,19,15,54.5,25,115
Lyon,2014-01-01,Nevada,West,Adjacent to Metropolitan,No,19,31,16,55.3,247,29,25,53,23,223
Mineral,2014-01-01,Nevada,West,Far from Metropolitan,No,87,30,19,55,588,36,27,37.9,23,577
Nye,2014-01-01,Nevada,West,Adjacent to Metropolitan,No,42,30,20,51,132,43,26,39.2,23,570
Pershing,2014-01-01,Nevada,West,Far from Metropolitan,No,,29,19,46.3,89,37,26,31.8,27,541
Storey,2014-01-01,Nevada,West,In Metropolitan,No,,24,16,51.7,,31,22,68.3,22,249
Washoe,2014-01-01,Nevada,West,In Metropolitan,No,73,23,15,62.6,350,33,18,60.6,24,439
White Pine,2014-01-01,Nevada,West,Far from Metropolitan,No,69,26,20,46.7,238,37,20,44.8,20,270
Carson City,2014-01-01,Nevada,West,In Metropolitan,No,78,23,18,59.9,308,34,21,48.8,24,296
Belknap,2014-01-01,New Hampshire,Northeast,Adjacent to Metropolitan,No,66,27,12,71.5,209,33,18,59.1,15,200
Carroll,2014-01-01,New Hampshire,Northeast,Adjacent to Metropolitan,No,71,24,13,75,174,32,18,59.2,17,147
Cheshire,2014-01-01,New Hampshire,Northeast,Adjacent to Metropolitan,No,72,26,13,70.1,273,26,17,59.5,13,176
Coos,2014-01-01,New Hampshire,Northeast,Far from Metropolitan,No,125,32,18,69.4,150,34,22,51.1,17,143
Grafton,2014-01-01,New Hampshire,Northeast,Far from Metropolitan,No,192,26,11,70.9,197,28,17,66.6,15,167
Hillsborough,2014-01-01,New Hampshire,Northeast,In Metropolitan,No,86,27,11,69.3,277,28,16,68.1,12,243
Merrimack,2014-01-01,New Hampshire,Northeast,Adjacent to Metropolitan,No,121,26,11,72.7,207,28,15,67.9,12,148
Rockingham,2014-01-01,New Hampshire,Northeast,In Metropolitan,No,76,26,10,74.2,166,19,16,72.6,10,118
